#                                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                      accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                            -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
COG4328              -            266 WP_028660106.1#1|Nocardioides_insulae_DSM_17944 -            599   1.4e-66  226.2   0.0   1   1     2e-70   2.1e-66  225.6   0.0     1   262     1   262     1   265 0.88 -
pfam04250            -            215 WP_028660106.1#1|Nocardioides_insulae_DSM_17944 -            599   3.8e-43  149.4   1.8   1   1   6.7e-47     7e-43  148.6   1.8     1   213     5   238     5   240 0.94 -
COG2357              -            231 WP_028660106.1#1|Nocardioides_insulae_DSM_17944 -            599   4.6e-29  103.4   0.0   1   1   6.3e-33   6.6e-29  102.8   0.0    43   213   294   475   257   486 0.76 -
smart00954           -            111 WP_028660106.1#1|Nocardioides_insulae_DSM_17944 -            599   2.1e-23   84.6   0.0   1   1     3e-27   3.2e-23   84.0   0.0     1   108   310   436   310   439 0.85 -
cd05399              -            131 WP_028660106.1#1|Nocardioides_insulae_DSM_17944 -            599     2e-19   71.7   0.0   1   1     3e-23   3.2e-19   71.0   0.0     4   131   291   428   276   428 0.90 -
pfam04607            -            117 WP_028660106.1#1|Nocardioides_insulae_DSM_17944 -            599   3.7e-17   64.4   0.0   1   1   5.9e-21   6.2e-17   63.7   0.0     1   114   310   436   310   438 0.91 -
COG4328              -            266 WP_091126147.1#2|Nocardioides_terrae -            590   1.2e-68  233.0   0.0   1   1   1.6e-72   1.7e-68  232.5   0.0     2   262     8   265     7   269 0.90 -
pfam04250            -            215 WP_091126147.1#2|Nocardioides_terrae -            590   5.8e-42  145.6   4.8   1   2   5.5e-46   5.8e-42  145.6   4.8     1   214    11   237    11   238 0.96 -
pfam04250            -            215 WP_091126147.1#2|Nocardioides_terrae -            590   5.8e-42  145.6   4.8   2   2       1.3   1.4e+04   -2.7   0.1   131   164   547   583   522   587 0.55 -
COG2357              -            231 WP_091126147.1#2|Nocardioides_terrae -            590   1.5e-32  114.8   0.0   1   2      0.35   3.7e+03   -1.0   0.0   164   186   187   209   185   221 0.76 -
COG2357              -            231 WP_091126147.1#2|Nocardioides_terrae -            590   1.5e-32  114.8   0.0   2   2   5.7e-36     6e-32  112.8   0.0    24   212   274   469   266   481 0.81 -
smart00954           -            111 WP_091126147.1#2|Nocardioides_terrae -            590   1.6e-25   91.4   0.0   1   1     3e-29   3.2e-25   90.5   0.0     1   108   309   431   309   434 0.90 -
cd05399              -            131 WP_091126147.1#2|Nocardioides_terrae -            590   1.4e-20   75.4   0.0   1   1   1.9e-24     2e-20   74.9   0.0     2   131   288   423   287   423 0.90 -
pfam04607            -            117 WP_091126147.1#2|Nocardioides_terrae -            590   8.1e-19   69.8   0.0   1   1   1.3e-22   1.4e-18   69.0   0.0     1   114   309   431   309   433 0.92 -
COG4328              -            266 WP_085872309.1#4|Nocardioides_sp__PD653 -            583   6.9e-69  233.8   0.0   1   1     1e-72   1.1e-68  233.2   0.0     1   259     1   250     1   254 0.92 -
pfam04250            -            215 WP_085872309.1#4|Nocardioides_sp__PD653 -            583   3.6e-42  146.3   2.8   1   1   6.7e-46     7e-42  145.3   2.8     1   202     5   219     5   230 0.93 -
COG2357              -            231 WP_085872309.1#4|Nocardioides_sp__PD653 -            583   4.5e-31  109.9   0.0   1   1   6.2e-35   6.5e-31  109.4   0.0    50   217   292   464   260   474 0.84 -
smart00954           -            111 WP_085872309.1#4|Nocardioides_sp__PD653 -            583   1.4e-23   85.2   0.0   1   1     2e-27   2.1e-23   84.6   0.0     1   108   298   421   298   424 0.90 -
cd05399              -            131 WP_085872309.1#4|Nocardioides_sp__PD653 -            583   2.1e-20   74.9   0.0   1   1   2.9e-24     3e-20   74.3   0.0     3   131   278   413   276   413 0.91 -
pfam04607            -            117 WP_085872309.1#4|Nocardioides_sp__PD653 -            583   1.4e-17   65.8   0.0   1   1   2.2e-21   2.3e-17   65.1   0.0     1   114   298   421   298   423 0.91 -
COG2357              -            231 WP_045824230.1#5|Williamsia_herbipolensis -            317   3.8e-33  116.7   0.0   1   1   3.4e-37   5.3e-33  116.2   0.0    37   212    20   194     3   211 0.82 -
smart00954           -            111 WP_045824230.1#5|Williamsia_herbipolensis -            317   1.4e-27   98.0   0.0   1   1   1.9e-31   2.9e-27   97.0   0.0     1   109    42   158    42   160 0.93 -
cd05399              -            131 WP_045824230.1#5|Williamsia_herbipolensis -            317   3.4e-25   90.4   0.0   1   1   3.3e-29   5.2e-25   89.8   0.0     6   131    25   149    14   149 0.88 -
pfam04607            -            117 WP_045824230.1#5|Williamsia_herbipolensis -            317   2.3e-21   78.0   0.0   1   1   2.4e-25   3.9e-21   77.3   0.0     1   115    42   158    42   160 0.93 -
COG2357              -            231 WP_009357567.1#7|Arthrobacter_nitrophenolicus -            368   1.2e-25   92.2   0.0   1   1   1.1e-29   1.7e-25   91.7   0.0    21   213    22   239     3   248 0.81 -
cd05399              -            131 WP_009357567.1#7|Arthrobacter_nitrophenolicus -            368   2.8e-23   84.2   0.0   1   1   2.9e-27   4.6e-23   83.5   0.0     5   131    39   192    21   192 0.94 -
smart00954           -            111 WP_009357567.1#7|Arthrobacter_nitrophenolicus -            368     9e-22   79.3   0.0   1   1   9.1e-26   1.4e-21   78.7   0.0     1   109    57   201    57   203 0.80 -
pfam04607            -            117 WP_009357567.1#7|Arthrobacter_nitrophenolicus -            368     6e-18   67.0   0.0   1   1   6.6e-22     1e-17   66.2   0.0     1   115    57   201    57   203 0.94 -
COG2357              -            231 WP_040086188.1#8|Corynebacterium_humireducens_NBRC_106098___DSM_45392 -            341     3e-38  133.4   0.0   1   1   2.9e-42   4.5e-38  132.8   0.0    25   218    12   216     2   227 0.78 -
smart00954           -            111 WP_040086188.1#8|Corynebacterium_humireducens_NBRC_106098___DSM_45392 -            341   3.2e-26   93.6   0.0   1   1     3e-30   4.8e-26   93.1   0.0     2   110    47   175    46   176 0.87 -
cd05399              -            131 WP_040086188.1#8|Corynebacterium_humireducens_NBRC_106098___DSM_45392 -            341   1.7e-22   81.7   0.0   1   1   1.8e-26   2.8e-22   80.9   0.0     6   131    29   165    24   165 0.93 -
pfam04607            -            117 WP_040086188.1#8|Corynebacterium_humireducens_NBRC_106098___DSM_45392 -            341   6.9e-21   76.5   0.0   1   1   6.6e-25     1e-20   75.9   0.0     1   116    46   175    46   176 0.93 -
COG2357              -            231 WP_038606084.1#9|Corynebacterium_atypicum -            340   3.1e-38  133.4   0.0   1   1   2.4e-42   3.8e-38  133.1   0.0    16   224     7   223     1   229 0.85 -
smart00954           -            111 WP_038606084.1#9|Corynebacterium_atypicum -            340   1.8e-26   94.5   0.1   1   1   1.6e-30   2.5e-26   94.0   0.1     2   109    48   175    47   177 0.85 -
cd05399              -            131 WP_038606084.1#9|Corynebacterium_atypicum -            340   8.3e-24   85.9   0.0   1   1   8.5e-28   1.3e-23   85.2   0.0     3   131    27   166    22   166 0.93 -
pfam04607            -            117 WP_038606084.1#9|Corynebacterium_atypicum -            340   5.4e-22   80.0   0.1   1   1   4.9e-26   7.7e-22   79.5   0.1     1   115    47   175    47   177 0.94 -
COG2357              -            231 WP_045076149.1#10|Psychromicrobium_lacuslunae -            367     2e-24   88.2   0.0   1   1   1.8e-28   2.9e-24   87.6   0.0    20   219    18   245     3   254 0.82 -
cd05399              -            131 WP_045076149.1#10|Psychromicrobium_lacuslunae -            367   8.6e-21   76.1   0.0   1   1   9.3e-25   1.5e-20   75.4   0.0     6   131    40   192    28   192 0.91 -
smart00954           -            111 WP_045076149.1#10|Psychromicrobium_lacuslunae -            367   9.9e-20   72.8   0.0   1   1   1.5e-23   2.4e-19   71.6   0.0     1   109    57   201    57   203 0.79 -
pfam04607            -            117 WP_045076149.1#10|Psychromicrobium_lacuslunae -            367   6.1e-16   60.5   0.0   1   1   7.7e-20   1.2e-15   59.6   0.0     1   115    57   201    57   203 0.93 -
COG2357              -            231 WP_066487126.1#11|Corynebacterium_sp__HMSC077B05 -            326   7.4e-36  125.6   0.0   1   1   6.3e-40     1e-35  125.1   0.0    16   217     7   213     1   225 0.84 -
smart00954           -            111 WP_066487126.1#11|Corynebacterium_sp__HMSC077B05 -            326   1.4e-24   88.4   0.0   1   1   1.5e-28   2.4e-24   87.6   0.0     2   108    48   171    47   174 0.88 -
cd05399              -            131 WP_066487126.1#11|Corynebacterium_sp__HMSC077B05 -            326   3.1e-23   84.0   0.0   1   2   4.4e-27   6.9e-23   82.9   0.0     3   131    27   163    23   163 0.94 -
cd05399              -            131 WP_066487126.1#11|Corynebacterium_sp__HMSC077B05 -            326   3.1e-23   84.0   0.0   2   2       1.6   2.6e+04   -3.1   0.0    61    81   263   282   247   290 0.64 -
pfam04607            -            117 WP_066487126.1#11|Corynebacterium_sp__HMSC077B05 -            326   2.5e-19   71.4   0.0   1   1   2.6e-23   4.1e-19   70.7   0.0     1   115    47   172    47   174 0.93 -
COG2357              -            231 WP_061923395.1#12|Corynebacterium_sp__HMSC06G04 -            341   5.6e-38  132.5   0.0   1   1   4.9e-42   7.8e-38  132.0   0.0    16   225     7   221     1   226 0.83 -
smart00954           -            111 WP_061923395.1#12|Corynebacterium_sp__HMSC06G04 -            341   6.6e-25   89.4   0.0   1   1   8.1e-29   1.3e-24   88.5   0.0     2   109    48   172    47   174 0.87 -
cd05399              -            131 WP_061923395.1#12|Corynebacterium_sp__HMSC06G04 -            341   3.9e-22   80.5   0.0   1   1   5.6e-26   8.8e-22   79.3   0.0     4   131    28   163    25   163 0.93 -
pfam04607            -            117 WP_061923395.1#12|Corynebacterium_sp__HMSC06G04 -            341   8.1e-21   76.2   0.0   1   1   8.6e-25   1.4e-20   75.5   0.0     1   115    47   172    47   174 0.92 -
COG2357              -            231 WP_005328829.1#14|Corynebacterium_tuberculostearicum_SK141 -            332   6.4e-37  129.1   0.0   1   1   5.3e-41   8.4e-37  128.7   0.0    15   224     6   224     1   230 0.82 -
smart00954           -            111 WP_005328829.1#14|Corynebacterium_tuberculostearicum_SK141 -            332   4.9e-24   86.6   0.0   1   1   6.3e-28     1e-23   85.6   0.0     2   108    48   175    47   178 0.84 -
cd05399              -            131 WP_005328829.1#14|Corynebacterium_tuberculostearicum_SK141 -            332   1.5e-22   81.8   0.0   1   2   2.8e-26   4.4e-22   80.3   0.0     5   131    29   167    25   167 0.94 -
cd05399              -            131 WP_005328829.1#14|Corynebacterium_tuberculostearicum_SK141 -            332   1.5e-22   81.8   0.0   2   2      0.56   8.9e+03   -1.6   0.0    65    82   270   287   246   310 0.75 -
pfam04607            -            117 WP_005328829.1#14|Corynebacterium_tuberculostearicum_SK141 -            332   6.9e-20   73.2   0.0   1   1   7.3e-24   1.2e-19   72.5   0.0     1   115    47   176    47   178 0.92 -
COG2357              -            231 WP_071409977.1#16|Corynebacterium_sp__HMSC074H12 -            334   3.5e-38  133.2   0.0   1   1     3e-42   4.7e-38  132.8   0.0    18   224     6   224     1   230 0.87 -
cd05399              -            131 WP_071409977.1#16|Corynebacterium_sp__HMSC074H12 -            334   2.5e-25   90.8   0.0   1   2   2.4e-27   3.8e-23   83.7   0.0     3   131    27   167    25   167 0.94 -
cd05399              -            131 WP_071409977.1#16|Corynebacterium_sp__HMSC074H12 -            334   2.5e-25   90.8   0.0   2   2    0.0051        80    5.0   0.0    49    83   255   288   237   317 0.80 -
smart00954           -            111 WP_071409977.1#16|Corynebacterium_sp__HMSC074H12 -            334   5.3e-25   89.7   0.0   1   2   1.6e-28   2.5e-24   87.6   0.0     2   108    48   175    47   178 0.86 -
smart00954           -            111 WP_071409977.1#16|Corynebacterium_sp__HMSC074H12 -            334   5.3e-25   89.7   0.0   2   2      0.38     6e+03   -0.6   0.0    36    55   269   288   253   301 0.78 -
pfam04607            -            117 WP_071409977.1#16|Corynebacterium_sp__HMSC074H12 -            334   1.2e-19   72.5   0.0   1   2   1.9e-23   3.1e-19   71.2   0.0     1   115    47   176    47   178 0.92 -
